0,0
0.26838,0.22802
0.24592,0.20057
0.23531,0.19384
0.22547,0.19011
0.21666,0.18762
0.20877,0.18564
0.20168,0.18394
0.1953,0.18242
0.18957,0.18105
0.18439,0.17979
0.17972,0.17863
0.1755,0.17755
0.17168,0.17653
0.16821,0.17558
0.16506,0.17467
0.1622,0.1738
0.15959,0.17297
0.15721,0.17217
0.15504,0.1714
0.15304,0.17064
0.15122,0.1699
0.14954,0.16918
0.148,0.16847
0.14658,0.16777
0.14527,0.16708
0.14406,0.1664
0.14293,0.16572
0.14189,0.16505
0.14092,0.16439
0.14002,0.16373
0.13918,0.16308
0.1384,0.16243
0.13767,0.16178
0.13698,0.16114
0.13633,0.16051
0.13573,0.15987
0.13516,0.15924
0.13462,0.15862
0.13411,0.158
0.13362,0.15738
0.13317,0.15676
