2010,828.9,828.44,828.27,829.01,0.8801,0.87933,0.8668,0.88923,9.8779,9.518,9.3891,9.9693,2.1791,2.1697,2.1326,2.2028
2011,833.86,833.1,832.81,834.07,0.90906,0.9061,0.8916,0.91683,9.9162,9.5874,9.3859,10.217,2.2318,2.212,2.1728,2.2437
2012,838.82,837.79,837.32,839.32,0.93812,0.93279,0.91639,0.94409,9.9544,9.6569,9.3826,10.464,2.2819,2.2553,2.2129,2.2883
2013,843.77,842.52,841.79,844.74,0.96684,0.95933,0.94089,0.97134,9.9927,9.7263,9.3794,10.712,2.3295,2.2982,2.2516,2.334
2014,848.72,847.28,846.24,850.33,0.99517,0.98577,0.96509,0.99875,10.031,9.7957,9.3761,10.959,2.3753,2.341,2.2894,2.3811
2015,853.67,852.07,850.65,856.08,1.0231,1.0122,0.98901,1.0265,10.069,9.8651,9.3729,11.207,2.4194,2.384,2.3265,2.4295
2016,858.62,856.89,855.05,861.98,1.0506,1.0386,1.0127,1.0546,10.107,9.9346,9.3697,11.454,2.4621,2.4269,2.3629,2.4792
2017,863.58,861.74,859.42,868.05,1.0777,1.0651,1.0361,1.0831,10.146,10.004,9.3664,11.702,2.5033,2.47,2.3987,2.5301
2018,868.55,866.63,863.78,874.27,1.1043,1.0916,1.0593,1.1121,10.184,10.073,9.3632,11.949,2.5434,2.5132,2.434,2.5821
2019,873.53,871.55,868.11,880.64,1.1307,1.1183,1.0825,1.1417,10.222,10.143,9.3599,12.197,2.5831,2.5573,2.4696,2.6361
2020,878.52,876.5,872.43,887.17,1.1563,1.1449,1.1057,1.1721,10.26,10.212,9.3567,12.444,2.619,2.5997,2.5056,2.6922
2021,883.52,881.5,876.73,893.84,1.1809,1.1712,1.1291,1.2034,10.029,10.308,9.3648,12.655,2.6517,2.6408,2.5426,2.7508
2022,888.27,886.55,881.03,900.64,1.2046,1.1975,1.1527,1.2351,9.7976,10.404,9.3729,12.866,2.6818,2.6827,2.58,2.8082
2023,892.8,891.66,885.32,907.56,1.2275,1.2237,1.1763,1.2673,9.5661,10.499,9.381,13.077,2.7108,2.7246,2.6176,2.8661
2024,897.12,896.84,889.62,914.6,1.2499,1.25,1.2001,1.2999,9.3346,10.595,9.3891,13.288,2.7389,2.7664,2.6553,2.9244
2025,901.23,902.07,893.91,921.77,1.2718,1.2762,1.2239,1.3329,9.1032,10.691,9.3972,13.499,2.766,2.8082,2.6932,2.9832
2026,905.14,907.36,898.2,929.06,1.2931,1.3025,1.2479,1.3663,8.8717,10.787,9.4054,13.71,2.7922,2.8499,2.7313,3.0423
2027,908.87,912.71,902.49,936.49,1.3139,1.3288,1.2719,1.4,8.6402,10.882,9.4135,13.921,2.8174,2.8915,2.7696,3.1019
2028,912.4,918.12,906.79,944.05,1.3343,1.3551,1.296,1.4341,8.4087,10.978,9.4216,14.132,2.8418,2.9332,2.808,3.1619
2029,915.76,923.58,911.08,951.73,1.3542,1.3814,1.3202,1.4686,8.1773,11.074,9.4297,14.343,2.8653,2.9749,2.8466,3.2224
2030,918.94,929.11,915.39,959.55,1.3732,1.4079,1.3434,1.504,7.9458,11.17,9.4378,14.554,2.8855,3.0172,2.8793,3.2862
2031,921.95,934.69,919.7,967.5,1.391,1.4345,1.365,1.5406,7.6536,11.206,9.578,14.842,2.9024,3.06,2.9061,3.3536
2032,924.74,940.28,924.14,975.66,1.4082,1.4612,1.386,1.5778,7.3614,11.243,9.7183,15.13,2.9197,3.1016,2.9344,3.4204
2033,927.31,945.87,928.71,984.02,1.4247,1.4877,1.4066,1.6158,7.0692,11.28,9.8585,15.417,2.9358,3.1426,2.9633,3.4883
2034,929.67,951.48,933.39,992.58,1.4407,1.5141,1.4272,1.6544,6.777,11.316,9.9988,15.705,2.9506,3.1831,2.9926,3.5571
2035,931.81,957.1,938.18,1001.4,1.4559,1.5404,1.4476,1.6937,6.4849,11.353,10.139,15.993,2.9643,3.2231,3.0222,3.6268
2036,933.76,962.73,943.07,1010.3,1.4706,1.5665,1.468,1.7335,6.1927,11.39,10.279,16.281,2.9767,3.2625,3.0522,3.6972
